"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+7.82741312500E+008, -2.61152034240E-001, +0.00000000000E+000
+7.85241125000E+008, -2.61457895942E-001, +0.00000000000E+000
+7.87740937500E+008, -2.63536817057E-001, +0.00000000000E+000
+7.90240750000E+008, -2.62096766424E-001, +0.00000000000E+000
+7.92740562500E+008, -2.63185362018E-001, +0.00000000000E+000
+7.95240375000E+008, -2.65033485181E-001, +0.00000000000E+000
+7.97740187500E+008, -2.64741830433E-001, +0.00000000000E+000
+8.00240000000E+008, -2.63503204613E-001, +0.00000000000E+000
+8.02739812500E+008, -2.64431427572E-001, +0.00000000000E+000
+8.05239625000E+008, -2.66552053268E-001, +0.00000000000E+000
+8.07739437500E+008, -2.65607110223E-001, +0.00000000000E+000
+8.10239250000E+008, -2.67079182631E-001, +0.00000000000E+000
+8.12739062500E+008, -2.66792045894E-001, +0.00000000000E+000
+8.15238875000E+008, -2.67402329829E-001, +0.00000000000E+000
+8.17738687500E+008, -2.68597326846E-001, +0.00000000000E+000
+8.20238500000E+008, -2.70133349689E-001, +0.00000000000E+000
+8.22738312500E+008, -2.69723915252E-001, +0.00000000000E+000
+8.25238125000E+008, -2.72789489408E-001, +0.00000000000E+000
+8.27737937500E+008, -2.71080329070E-001, +0.00000000000E+000
+8.30237750000E+008, -2.72790311423E-001, +0.00000000000E+000
+8.32737562500E+008, -2.72717369948E-001, +0.00000000000E+000
+8.35237375000E+008, -2.74500443303E-001, +0.00000000000E+000
+8.37737187500E+008, -2.73277492705E-001, +0.00000000000E+000
+8.40237000000E+008, -2.74486456070E-001, +0.00000000000E+000
+8.42736812500E+008, -2.74713884764E-001, +0.00000000000E+000
+8.45236625000E+008, -2.77690346950E-001, +0.00000000000E+000
+8.47736437500E+008, -2.74532223649E-001, +0.00000000000E+000
+8.50236250000E+008, -2.74839660136E-001, +0.00000000000E+000
+8.52736062500E+008, -2.76566600530E-001, +0.00000000000E+000
+8.55235875000E+008, -2.74564220780E-001, +0.00000000000E+000
+8.57735687500E+008, -2.77346342322E-001, +0.00000000000E+000
+8.60235500000E+008, -2.76514236270E-001, +0.00000000000E+000
+8.62735312500E+008, -2.77238647125E-001, +0.00000000000E+000
+8.65235125000E+008, -2.76064566001E-001, +0.00000000000E+000
+8.67734937500E+008, -2.77372567350E-001, +0.00000000000E+000
+8.70234750000E+008, -2.78133485693E-001, +0.00000000000E+000
+8.72734562500E+008, -2.79505697262E-001, +0.00000000000E+000
+8.75234375000E+008, -2.80210216616E-001, +0.00000000000E+000
+8.77734187500E+008, -2.79439856431E-001, +0.00000000000E+000
+8.80234000000E+008, -2.81549418151E-001, +0.00000000000E+000
+8.82733812500E+008, -2.83052943060E-001, +0.00000000000E+000
+8.85233625000E+008, -2.84622018076E-001, +0.00000000000E+000
+8.87733437500E+008, -2.85251940505E-001, +0.00000000000E+000
+8.90233250000E+008, -2.86453891125E-001, +0.00000000000E+000
+8.92733062500E+008, -2.88646231497E-001, +0.00000000000E+000
+8.95232875000E+008, -2.87608599712E-001, +0.00000000000E+000
